192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
192.168.100.99,8.8.8.8
8.8.8.8,192.168.100.99
192.168.100.99,1.1.1.1
1.1.1.1,192.168.100.99
10.1.253.128,10.1.1.1
10.1.1.1,10.1.253.128
